SegmentInL1	SegmentInL2
LA NOURRICE,	THE NURSE,
hausse les épaules.	shrugging shoulders.
A-t-on vu ça ? Parler aux bêtes !	Oh come on. Talk to animals !
ANTIGONE	ANTIGONE
Et justement pas comme à une bête. Comme à une vraie personne, comme tu m'entends faire...	No, not the way you'd talk to an animal. The way you talk to a person, like you've heard me do it...
LA NOURRICE	THE NURSE
Ah, ça non ! A mon âge, faire l'idiote! Mais pourquoi veux-tu que toute la maison lui parle comme toi, à cette bête ?	Oh, no no no! Play the fool at my age! But why do you want everyone to talk to that stupid animal like you do?
ANTIGONE,	ANTIGONE,
doucement.	softly.
Si moi, pour une raison ou pour une autre, je ne pouvais plus lui parler...	If, for some reason, I wasn't able to talk to her any more...
LA NOURRICE,	THE NURSE,
qui ne comprend pas.	who doesn't understand.
Plus lui parler, plus lui parler ? Pourquoi ?	Not talk to her anymore, not talk to her anymore? Why not?
ANTIGONE,	ANTIGONE,
détourne un peu la tête et puis elle ajoute, la voix dure.	turns her head away a little and then adds in a hard voice.
Et puis, si elle était trop triste, si elle avait trop l'air d'attendre tout de même, le nez sous la porte comme lorsque je suis sortie, il vaudrait peut-être mieux la faire tuer, nounou, sans qu'elle ait mal.	And then, if she was too sad, if she always looked like she was waiting, her nose under the door like she is when I've gone out, maybe it would best to have her put down, painlessly put down.
LA NOURRICE	THE NURSE
La faire tuer, ma mignonne ? Faire tuer ta chienne ? Mais tu es folle ce matin !	Have her put down, sweetie? Kill your dog? But what's got into you this morning!
ANTIGONE	ANTIGONE
Non, nounou.	No, nurse.
(Hémon paraît).	Haemon appears.
Voilà Hémon. Laisse-nous, nourrice. Et n'oublie pas ce que tu m'as juré.	Here's Haemon. Leave us now, nurse. And don't forget what you promised me.
La nourrice sort.	Exit the nurse.
TABLEAU VI : ANTIGONE, HEMON	SCENE VI: ANTIGONE, HAEMON
ANTIGONE,	ANTIGONE,
court à Hémon.	runs to Haemon
Pardon, Hémon, pour notre dispute d'hier soir et pour tout. C'est moi qui avais tort. Je te prie de me pardonner.	Haemon, I'm so sorry about our fight last night, I'm so sorry about everything. I was wrong. Please forgive me.
HEMON	HAEMON
Tu sais bien que je t'avais pardonné, à peine avais-tu claqué la porte. Ton parfum était encore là et je t'avais déjà pardonné.	You'd hardly had time to slam the door and I'd forgiven you. I could still smell your perfume and I'd forgiven you.
(Il la tient dans ses bras, il sourit, il la regarde.)	(He holds her in his arms, he smiles, he looks at her.)
A qui l'avais-tu volé, ce parfum ?	Who did you steal it from, that perfume? 
ANTIGONE	ANTIGONE
A Ismène.	From Ismene.
HEMON	HAEMON
Et le rouge à lèvres, la poudre, la belle robe ?	And the lipstick, the makeup, the pretty dress?
ANTIGONE	ANTIGONE
Aussi.	That as well.
HEMON	HAEMON
En quel honneur t'étais-tu faite si belle ?	And who were you making yourself so beautiful for?
ANTIGONE	ANTIGONE
Je te le dirai.	I'll tell you.
(Elle se serre contre lui un peu plus fort)	(She holds him to her a little tighter)
Oh ! mon chéri, comme j'ai été bête ! Tout un soir gaspillé. Un beau soir.	Oh! my darling, I was so stupid! A whole evening wasted. A whole beautiful evening.
HEMON	HAEMON
Nous aurons d'autres soirs, Antigone.	We'll have other evenings, Antigone.
ANTIGONE	ANTIGONE
Peut-être pas.	Maybe we won't.
HEMON	HAEMON
Et d'autres disputes aussi. C'est plein de disputes, un bonheur.	And other fights too. People who love each other are always fighting.
ANTIGONE	ANTIGONE
Un bonheur, oui... Ecoute, Hémon.	People who love each other, yes... Listen, Haemon.
HEMON	HAEMON
Oui.	Yes.
ANTIGONE	ANTIGONE
Ne ris pas ce matin. Sois grave.	Don't smile this morning. Be serious.
HEMON	HAEMON
Je suis grave.	I am serious.
ANTIGONE	ANTIGONE
Et serre-moi. Plus fort que tu ne m'as jamais serrée. Que toute ta force s'imprime dans moi.	And hold me. Hold me tighter than you've ever held me before. So that all your strength goes into me.
HEMON	HAEMON
Là. De toute ma force.	There. All my strength.
ANTIGONE,	ANTIGONE,
dans un souffle.	In a whisper.
C'est bon.	That's good.
(Ils restent un instant sans rien dire, puis elle commence doucement.)	(They stay there a moment without saying anything, then she starts softly.)
Ecoute, Hémon.	Listen, Haemon.
HEMON	HAEMON
Oui.	Yes.
ANTIGONE	ANTIGONE
Je voulais te dire ce matin... Le petit garçon que nous aurions eu tous les deux...	There's something I want to say to you this morning... The little boy we would have had...
HEMON	HAEMON
Oui.	Yes.
ANTIGONE	ANTIGONE
Tu sais, je l'aurais bien défendu contre tout.	You know, I'd have protected him from the whole world.
HEMON	HAEMON
Oui, Antigone.	Yes, Antigone.
ANTIGONE	ANTIGONE
Oh ! Je l'aurais serré si fort qu'il n'aurait jamais eu peur, je te le jure.	Oh! I'd have held him so tight that he'd never have felt a moment of fear, I swear it to you.
Ni du soir qui vient, ni de l'angoisse du plein soleil immobile, ni des ombres...	Not of the night to come, not of the terrible noonday sun that won't move, not of the shadows...
Notre petit garçon, Hémon ! Il aurait eu une maman toute petite et mal peignée - mais plus sûre que toutes les vraies mères du monde avec leurs vraies poitrines et leurs grands tabliers. Tu le crois, n'est-ce pas ?	Our little boy, Haemon! He'd have had a mother who was kind of small and untidy - but stronger than all the real mothers with their big tits and their aprons. You believe me, don't you?
HEMON	HAEMON
Oui, mon amour.	Yes, my love.
ANTIGONE	ANTIGONE
Et tu crois aussi, n'est-ce pas, que toi, tu aurais eu une vraie femme ?	And you do know, don't you, that you would have had a real woman? 
HEMON,	HAEMON
la tient.	holds her.
J'ai une vraie femme.	I have a real woman.
ANTIGONE,	ANTIGONE,
crie soudain, blottie contre lui.	cries suddenly, pressed against him.
Oh ! tu m'aimais, Hémon, tu m'aimais, tu en es bien sûr, ce soir-là?	Oh! Haemon, you did love me, you're quite sure you did love me, that evening?
HEMON,	HAEMON
la berce doucement.	cradles her gently.
Quel soir ?	What evening?
ANTIGONE	ANTIGONE
Tu es bien sûr qu'à ce bal où tu es venu me chercher dans mon coin, tu ne t'es pas trompé de jeune fille ? Tu es sûr que tu n'as jamais regretté depuis, jamais pensé, même tout au fond de toi, même une fois, que tu aurais plutôt dû demander Ismène ?	You're quite sure that at the ball when you came to find me in my corner, you didn't find the wrong girl? You're sure you've never regretted it, not thought even once, right deep down, that you should have asked Ismene?
HEMON	HAEMON
Idiote !	You little silly!
ANTIGONE	ANTIGONE
Tu m'aimes, n'est-ce pas ? Tu m'aimes comme une femme ?	You love me really? You love me as a woman?
Tes bras qui me serrent ne mentent pas ? Tes grandes mains posées sur mon dos ne mentent pas, ni ton odeur, ni ce bon chaud, ni cette grande confiance qui m'inonde quand j'ai la tête au creux de ton cou ?	Your arms that are holding me aren't lying? Your strong hands on my back aren't lying to me, and not your smell, and not your warmth, and not that feeling I have when I put my head on your shoulder that I'm here, I'm safe?
HEMON	HAEMON
Oui, Antigone, je t'aime comme une femme.	Yes, Antigone, I love you as a woman.
ANTIGONE	ANTIGONE
Je suis noire et maigre. Ismène est rose et dorée comme un fruit.	I'm dark and skinny. Ismene is pink and golden like a fruit.
HEMON,	HAEMON
murmure.	in a murmur
Antigone...	Antigone...
ANTIGONE	ANTIGONE
Oh ! Je suis toute rouge de honte. Mais il faut que je sache ce matin. Dis la vérité, je t'en prie.	Oh, I'm blushing, I'm so ashamed. But I have to know right now, this morning. Tell me the truth, please tell me the truth.
Quand tu penses que je serai à toi, est-ce que tu sens au milieu de toi comme un grand trou qui se creuse, comme quelque chose qui meurt ?	When you think that I'm going to be yours, do you feel like there's a great empty hole right inside you, like something that's dying?
HEMON	HAEMON
Oui, Antigone.	Yes, Antigone.
ANTIGONE,	ANTIGONE,
dans un souffle, après un temps.	presently, in a whisper.
Moi, je sens comme cela. Et je voulais te dire que j'aurais été très fière d'être ta femme, ta vraie femme, sur qui tu aurais posé ta main, le soir, en t'asseyant, sans penser, comme sur une chose bien à toi.	That's how I feel. And I wanted to say to you I would have been so proud to be your woman, really be your woman that you could reach out and touch when you sat down in the evening, without even thinking, the way you'd touch something that belonged to you.
(Elle s'est détachée de lui, elle a pris un autre ton.)	(She has moved away from him, now she speaks in a different tone of voice.)
Voilà. Maintenant, je vais te dire encore deux choses. Et quand je les aurais dites, il faudra que tu sortes sans me questionner.	Well, there you are. Now I'm going to tell you two more things. And when I've said them, you have to leave without asking me any questions.
Même si elles te paraissent extraordinaires, même si elles te font de la peine. Jure-le-moi.	Even if what I say seems weird, even if it hurts you very much. Swear you'll do that.
HEMON	HAEMON
Qu'est-ce que tu vas me dire encore ?	What are you going to say to me?
ANTIGONE	ANTIGONE
Jure-moi d'abord que tu sortiras sans rien me dire. Sans même me regarder. Si tu m'aimes, jure-le-moi.	Swear to me first that you'll leave without saying anything. Without even looking at me. If you love me, you'll swear you will.
(Elle le regarde avec son pauvre visage bouleversé.)	(She looks at him with her poor face full of pain.)
Tu vois comme je te le demande, jure-le-moi, s'il te plaît, Hémon... C'est la dernière folie que tu auras à me passer.	You see how I'm begging you, swear it, please Haemon... It's the last stupid thing I'll ever ask you to do.
HEMON	HAEMON
Je te le jure.	I swear it.
ANTIGONE	ANTIGONE
Merci. Alors, voilà. Hier. D'abord. Tu me demandais tout à l'heure pourquoi j'étais venue avec une robe d'Ismène, ce parfum et ce rouge à lèvres.	Thank you. Okay. First, what happened yesterday. You asked me just now why I turned up with Ismene's gown, with that perfume and lipstick.
J'étais bête. Je n'étais pas très sûre que tu me désires vraiment et j'avais fait tout cela pour être un peu plus comme les autres filles, pour te donner envie de moi.	I was dumb. I wasn't sure you really wanted me, and I did all that to be a bit more like the other girls, so that you'd feel that way..
HEMON	HAEMON
C'était pour cela ?	That was why?
ANTIGONE	ANTIGONE
Oui. Et tu as ri, et nous nous sommes disputés et mon mauvais caractère a été le plus fort, je me suis sauvée.	Yes. And you laughed, and we got into a fight, and I couldn't stop myself from losing it, and I rushed out.
(Elle ajoute plus bas.)	(She adds more quietly.)
Mais j'étais venue chez toi pour que tu me prennes hier soir, pour que je sois ta femme avant.	But I came to you because I wanted you to have me, so that I would be your woman first.
(Il recule, il va parler, elle crie.)	(He moves back, he is about to say something, she cries.)
Tu m'as juré de ne pas me demander pourquoi. Tu m'as juré, Hémon !	You swore you wouldn't ask me why. You swore, Haemon!
(Elle dit plus bas, humblement.)	(She adds, lower, humbly.)
Je t'en supplie...	Please, Haemon. I'm begging you...
(Et elle ajoute, se détournant, dure.)	(And she adds, turning away and in a hard voice.)
D'ailleurs, je vais te dire.	In fact, I'm going to tell you.
Je voulais être ta femme quand même parce que je t'aime comme cela, moi, très fort, et que je vais te faire de la peine, ô mon chéri, pardon ! que jamais, jamais, je ne pourrai t'épouser.	I wanted to be your woman all the same because I love you in that way, I do, very much, and I am going to hurt you very much, oh my darling! I am so sorry! but I will never, ever be able to marry you.
(Il est resté muet de stupeur, elle court à la fenêtre, elle crie.)	(He stands there stupefied, unable to say a word, she runs to the window and cries.)
Hémon, tu me l'as juré ! Sors. Sors tout de suite sans rien dire. Si tu parles, si tu fais un seul pas vers moi, je me jette par cette fenêtre.	Haemon, you swore! Leave. Leave right now and don't say anything. If you speak, if you take one step towards me, I will throw myself out of this window.
Je te le jure, Hémon. Je te le jure sur la tête du petit garçon que nous avons eu tous les deux en rêve, du seul petit garçon que j'aurai jamais.	I swear it, Haemon. I swear it on the head of the little boy we would have had in our dreams, us two, the only little boy I'll ever have. 
Pars maintenant, pars vite. Tu sauras demain. Tu sauras tout à l'heure.	Go now, don't wait! You'll know why tomorrow. You'll know very soon.
(Elle achève avec un tel désespoir qu'Hémon obéit et s'éloigne.)	(She ends in such a tone of despair that Haemon obeys her and moves away.)
S'il te plaît, pars, Hémon. C'est tout ce que tu peux faire encore pour moi, si tu m'aimes.	Please Haemon, leave. It's the only thing you can still do for me, if you love me.
(Il est sorti. Elle reste sans bouger, le dos à la salle, puis elle referme la fenêtre, elle vient s'asseoir sur une petite chaise au milieu de la scène, et dit doucement, comme étrangement apaisée.)	(He has left. She stands without moving, her back to the audience, then she closes the window again and sits down on a little chair in the middle of the stage and says softly, as though strangely comforted.)
Voilà. C'est fini pour Hémon, Antigone.	Well. That's Haemon done then, Antigone.
TABLEAU VII : ANTIGONE, ISMENE	SCENE VII: ANTIGONE, ISMENE
ISMENE,	ISMENE
est entrée, appelant.	has entered, calling.
Antigone ! ... Ah !, tu es là !	Antigone! ... Ah! you're here.
ANTIGONE,	ANTIGONE,
sans bouger.	without moving.
Oui, je suis là.	Yes, I'm here.
ISMENE	ISMENE
Je ne peux pas dormir. J'avais peur que tu sortes, et que tu tentes de l'enterrer malgré le jour.	I couldn't sleep. I was afraid you'd go out and try and bury him even though it's day.
Antigone, ma petite sœur, nous sommes tous là, autour de toi, Hémon, nounou et moi, et Douce, ta chienne. Nous t'aimons et nous sommes vivants, nous, nous avons besoin de toi.	Antigone, little sister, we're all here around you, Haemon and nurse and me, and Grace, your dog. We love you and us, we're all alive, and we need you.
Polynice est mort et il ne t'aimait pas. Il a toujours été un étranger pour nous, un mauvais frère.	Polynices is dead and he didn't love you. He was always a stranger to us, a bad brother.
Oublie-le, Antigone, comme il nous avait oubliées. Laisse son ombre dure errer éternellement sans sépulture, puisque c'est la loi de Créon.	Forget him, Antigone, the way he forgot us. Let his ghost wander for ever without a grave, because that's what Creon's law says.
Ne tente pas ce qui est au-dessus de tes forces. Tu braves tout toujours, mais tu es toute petite, Antigone. Reste avec nous, ne va pas là-bas cette nuit, je t'en supplie.	Don't try to do something that's too hard for you. You're never afraid, but you're just a little girl. Stay with us, don't go out tonight, please Antigone.
ANTIGONE,	ANTIGONE,
s'est levée, un étrange petit sourire sur les lèvres, elle va vers la porte et du seuil, doucement, elle dit...	has got up, a strange little smile on her lips, she goes towards the door and on the threshold, softly, she says...
C'est trop tard. Ce matin, quand tu m'as rencontrée, j'en venais.	Too late. This morning, when you met me, I'd just done it.
Elle est sortie.	She has left.
Ismène la suit avec un cri :	Ismene follows her with a cry:
ISMENE	ISMENE
Antigone !	Antigone!
TABLEAU VIII : CREON, LE PAGE, LE GARDE	SCENE VIII: CREON, THE PAGE, THE GUARD
Dès qu'Ismène est sortie, Créon entre par une autre porte avec son page.	As soon as Ismene has left, Creon enters through another door, with his page.
CREON	CREON
Un garde, dis-tu ? Un de ceux qui gardent le cadavre ? Fais-le entrer.	A guard, you say? One of the ones guarding the body? Tell him to come in.
Le garde entre.	The guard enters.
C'est une brute.	He is a thug.
Pour le moment, il est vert de peur.	Right now, he is green with fear.
LE GARDE	THE GUARD
se présente, au garde à vous.	faces Creon, salutes.
Garde Jonas, de la Deuxième Compagnie.	Guard Jonas, second company.
CREON	CREON
Qu'est-ce que tu veux ?	What do you want?
LE GARDE	THE GUARD
Voilà, chef. On a tiré au sort pour savoir celui qui viendrait. Et le sort est tombé sur moi.	Right boss. We drew lots to see who would come. And I got the short straw.
Alors, voilà, chef. Je suis venu parce qu'on a pensé qu'il valait mieux qu'il n'y en ait qu'un qui explique, et puis parce qu'on ne pouvait pas abandonner le poste tous les trois. On est les trois du piquet de garde, chef, autour du cadavre.	So, it's like this boss. I came on my own because we thought it was better if just one person explained, and then we couldn't all three of us leave our post. There's three of us on the patrol boss, round the body.
CREON	Creon
Qu'as-tu à me dire ?	What do you have to tell me?
LE GARDE	THE GUARD
On est trois, chef. Je ne suis pas tout seul. Les autres, c'est Durand et le garde de première classe Boudousse.	There's three of us, boss. Like, not just me. The others, that's Durand and the guardsman first class, Boudousse.
CREON	CREON
Pourquoi n'est-ce pas le première classe qui est venu ?	Why didn't the first class come?
LE GARDE	THE GUARD
N'est-ce pas, chef ? Je l'ai dit tout de suite, moi.	Isn't that right, boss? Just what I said too.
C'est le première classe qui doit y aller. Quand il n'y a pas de gradé, c'est le première classe qui est responsable.	It's the first class who should have come. When you don't have an officer present, it's the first class who's responsible.
Mais les autres, ils ont dit non et ils ont voulu tirer au sort. Faut-il que j'aille chercher le première classe, chef ?	But the others said no, they wanted to draw lots. Shall I go back and get the first class, boss?
CREON	CREON
Non. Parle, toi, puisque tu es là.	No. Talk, since you're the one here.
LE GARDE	THE GUARD
J'ai dix-sept ans de service. Je suis engagé volontaire, la médaille, deux citations. Je suis bien noté, chef. Moi, je suis « service ».	"I got seventeen years of service. I volunteered, medal, two citations. Never been in any trouble. ""Army service"", that's me."
Je ne connais que ce qui est commandé. Mes supérieurs, ils disent toujours : « Avec Jonas, on est tranquille. »	"I just do what I'm told. My commanding officers, they always say, ""With Jonas, you can relax."""
CREON	CREON
C'est bon. Parle. De quoi as-tu peur ?	Good. Talk. Why are you scared?
LE GARDE	THE GUARD
Régulièrement, ça aurait dû être le première classe. Moi je suis proposé première classe, mais je ne suis pas encore promu. Je devais être promu en juin.	Really it should have been the first class. They told me I'm moving up to first class, but I haven't got the promotion yet. I should've been promoted in June.
CREON	CREON
Vas-tu parler, enfin ? S'il est arrivé quelque chose, vous êtes tous les trois responsables. Ne cherche plus qui devrait être là.	Get to the point. If something has happened, you are all responsible. Stop telling me who is supposed to be here.
LE GARDE	THE GUARD
Hé bien, voilà, chef : le cadavre...	Uh, sure, okay boss. The body...
On a veillé, pourtant ! On avait la relève de deux heures, la plus dure. Vous savez ce que c'est, au moment où la nuit va finir.	So we were on watch. We had the two a.m. shift, the worst one. You know what it's like, just when the night's almost up.
Ce plomb entre les yeux, la nuque qui tire, et puis toutes ces ombres qui bougent et le brouillard du petit matin qui se lève...	Your eyes are like lead, your neck hurts, there's all these little shadows moving around and the morning fog's coming...
Ah ! ils ont bien choisi leur heure ! ...	Ah, they knew when to strike! ...
On était là, on parlait, on battait la semelle... On ne dormait pas, chef, ça, on peut vous le jurer tous les trois qu'on ne dormait pas !	We were there, shooting the breeze, walking up and down... We weren't asleep boss, we can promise you all three of us, no one was asleep!
D'ailleurs, avec le froid qu'il faisait... Tout d'un coup, moi je regarde le cadavre... On était à deux pas, mais moi je le regardais de temps en temps tout de même...	Like we could have, it was so cold... And then suddenly, I look at the body... It was just right next to us, but all the same I was looking at it now and then...
Je suis comme ça, moi, chef, je suis méticuleux. C'est pour ça que mes supérieurs, ils disent : « Avec Jonas... »	"I'm like that boss, I want to do it right. That's why my commanding officers say, ""With Jonas..."""
(Un geste de Créon l'arrête, il crie soudain.)	(Creon makes a gesture. He stops and cries suddenly.)
C'est moi qui l'ai vu le premier, chef ! Les autres vous le diront, c'est moi qui ai donné le premier l'alarme.	I saw it first, boss! The others'll tell you, I was the one what gave the alarm first.
CREON	CREON
L'alarme ? Pourquoi ?	The alarm? Why?
LE GARDE	THE GUARD
Le cadavre, chef. Quelqu'un l'avait recouvert.	The body, boss. Someone had covered it up.
Oh ! pas grand-chose. Ils n'avaient pas eu le temps, avec nous à côté.	Oh, not much. They didn't have time, like with us right there.
Seulement un peu de terre... Mais assez tout de même pour le cacher aux vautours.	Just a bit of earth... but all the same, enough to keep the vultures away.
CREON,	CREON,
va à lui.	approaches him.
Tu es sûr que ce n'est pas une bête en grattant ?	You are quite sure it wasn't just some animal?
LE GARDE	THE GUARD
Non, chef. On a d'abord espéré ça, nous aussi. Mais la terre était jetée sur lui. Selon les rites. C'est quelqu'un qui savait ce qu'il faisait.	No boss. That's what we hoped first. But the earth was thrown over him. Like you're supposed to. It was someone who knew what they was doing.
CREON	CREON
Qui a osé ? Qui a été assez fou pour braver ma loi ? As-tu relevé des traces ?	Who has dared? Who has been foolish enough to defy my law? Did you find any traces?
LE GARDE	THE GUARD
Rien, chef. Rien qu'un pas plus léger qu'un passage d'oiseau.	Nothing, boss. Nothing except one footstep lighter than a bird.
Après, en cherchant mieux, le garde Durand a trouvé plus loin une pelle, une petite pelle d'enfant toute vieille, toute rouillée.	Afterwards, when we looked around better, guardsman Durand found a spade further away, a little kid's spade, all old and rusty.
On a pensé que ça ne pouvait pas être un enfant qui avait fait le coup. Le première classe l'a gardée tout de même pour l'enquête.	We thought it couldn't be a kid what done it. The first class kept it all the same for the inquest.
CREON,	CREON,
rêve un peu.	dreams a moment.
Un enfant... L'opposition brisée qui sourd et mine déjà partout.	A child... The broken opposition that's already back, growing and undermining us everywhere.
Les amis de Polynice avec leur or bloqué dans Thèbes, les chefs de la plèbe puant l'ail, soudainement alliés aux princes, et les prêtres essayant de pêcher quelque chose au milieu de tout cela...	The friends of Polynices with their gold blocked in Thebes, the tribunes of the people, stinking of garlic, suddenly in cahoots with the princes, and the priests fishing around to see what they can get out of it...
Un enfant ! Ils ont dû penser que ce serait plus touchant.	A child! They must have thought that would be more touching.
Je le vois d'ici, leur enfant, avec sa gueule de tueur appointé et la petite pelle soigneusement enveloppée dans du papier sous sa veste.	I can see him, their child, with his killer's face and the little spade neatly wrapped in paper under his coat.
A moins qu'ils n'aient dressé un vrai enfant, avec des phrases...	That is, if they didn't train up a real child, teach him what to say...
Une innocence inestimable pour le parti. Un vrai petit garçon pâle qui crachera devant mes fusils. Un précieux sang bien frais sur mes mains, double aubaine.	A convenient piece of innocence to help the party. A pale little boy who will spit at the firing squad. How useful to smear that innocent blood on my hands, a double win.
(Il va à l'homme.)	(He moves towards the guard.)
Mais ils ont des complices, et dans ma garde, peut-être. Ecoute bien, toi...	But they have accomplices, and maybe some of them are in my guard. So listen carefully, you...
LE GARDE	THE GUARD
Chef, on a fait tout ce qu'on devait faire ! Durand s'est assis une demie-heure parce qu'il avait mal aux pieds, mais moi, chef, je suis resté tout le temps debout. Le première classe vous le dira.	Boss, we did everything we was supposed to! Durand, he sat down for half an hour cause his feet hurt, but me boss, I was up the whole time. The first class will tell you.
CREON	CREON
A qui avez-vous déjà parlé de cette affaire ?	Who have you talked to about this?
LE GARDE	THE GUARD
A personne, chef. On a tout de suite tiré au sort, et je suis venu.	No one, boss. We drew lots right away and then I came here.
CREON	CREON
Ecoute bien. Votre garde est doublée. Renvoyez la relève.	So listen carefully. Your shift is continued. Send back the relief.
Voilà l'ordre. Je ne veux que vous près du cadavre.	Those are your orders. I want no one but you near the body.
Et pas un mot. Vous êtes tous coupables d'une négligence, vous serez punis de toute façon, mais si tu parles, si le bruit court dans la ville qu'on a recouvert le cadavre de Polynice, vous mourrez tous les trois.	And not a word. You are all guilty of gross negligence, you will be punished whatever happens, but if you talk, if people start saying in town that someone covered up Polynices's body, then all three of you are dead.
LE GARDE	THE GUARD
gueule.	yelling
On n'a pas parlé, chef, je vous le jure ! Mais, moi, j'étais ici, et peut-être que les autres, ils l'ont déjà dit à la relève...	We haven't talked boss, I promise! But I was here, and maybe the others, maybe they already said to the relief...
(Il sue à grosses gouttes, il bafouille.)	(He is dripping with sweat, he's stammering.)
Chef, j'ai deux enfants. Il y en a un qui est tout petit.	Boss, I got two kids, one of them's just a baby.
Vous témoignerez pour moi que j'étais ici, chef, devant le conseil de guerre. J'étais ici, moi, avec vous ! J'ai un témoin !	You'll witness for me I was here, boss, I was here with you! I've got a witness!
Si on a parlé, ça sera les autres, ça ne sera pas moi ! J'ai un témoin, moi !	If someone's talked, it's the others, it's not me! I've got a witness!
CREON	CREON
Va vite. Si personne ne sait, tu vivras.	Get moving. If no one finds out, you live.
TABLEAU IX : CREON, LE PAGE, LE CHŒUR	SCENE IX: CREON, THE PAGE, THE CHORUS
(Le garde sort en courant. Créon reste un instant muet. Soudain, il murmure.)	(The guard leaves at a run. Creon stands for a moment without speaking. Suddenly, he murmurs.)
CREON	CREON
Un enfant...	A child...
(Il a pris le petit page par l'épaule.)	(He takes the little page by the shoulder.)
Viens, petit. Il faut que nous allions raconter tout cela maintenant...	Come on, kid. Now we'll have to tell everyone...
Et puis, la jolie besogne commencera. Tu mourrais, toi, pour moi ? Tu crois que tu irais avec ta petite pelle ?	And then, we'll have to clean up the mess. Would you die for me? Do you think you'd go out with your little spade?
(Le petit le regarde. Il sort avec lui, lui caressant la tête.)	(The page looks at him. Creon leaves with him, patting his head.)
Oui, bien sûr, tu irais tout de suite, toi aussi...	Yes, of course you would. You'd go out at once, you too...
(On l'entend soupirer encore en sortant.)	(We hear him sigh again as they leave.)
Un enfant...	A child...
Ils sont sortis.	They have left.
Le chœur entre.	The chorus enters
LE CHŒUR	THE CHORUS
Et voilà. Maintenant, le ressort est bandé. Cela n'a plus qu'à se dérouler tout seul. C'est cela qui est commode dans la tragédie.	So here we are. Now the spring is wound tight. It just has to unwind all by itself. That's what's so easy with tragedy.
On donne le petit coup de pouce pour que cela démarre, rien, un regard pendant une seconde à une fille qui passe et lève les bras dans la rue, une envie d'honneur un beau matin, au réveil, comme de quelque chose qui se mange, une question de trop que l'on se pose un soir...	all you need is a little nudge to set it going, anything will do, a glance at a girl you pass in the street who's lifting up her arms as you go by her, a feeling when you wake up in the morning that people aren't really treating you right, one question too many that you ask yourself late at night...
C'est tout. Après, on n'a plus qu'à laisser faire. On est tranquille. Cela roule tout seul. C'est minutieux, bien huilé depuis toujours.	That's all. And then, you just need to let things happen. You can relax. It happens all by itself. It's a piece of precision engineered, well-oiled machinery.
La mort, la trahison, le désespoir sont là, tout prêts, et les éclats, et les orages, et les silences, tous les silences : le silence quand le bras du bourreau se lève à la fin, le silence au commencement quand les deux amants sont nus l'un en face de l'autre pour la première fois, sans oser bouger tout de suite, dans la chambre sombre, le silence quand les cris de la foule éclatent autour du vainqueur et on dirait un film dont le son s'est enrayé, toutes ces bouches ouvertes dont il ne sort rien, toute cette clameur qui n'est qu'une image, et le vainqueur, déjà vaincu, seul au milieu de son silence...	Death is there, and treason and despair, all ready to use, and the outbursts, and the storms, and the silences, all the silences: the silence when the headsman raises his axe at the end, the silence at the beginning when the two lovers are naked in front of each other for the first time in the dark bedroom, without daring to move, the silence when the crowd's screams burst out around the conqueror and it's like a film where the sound has been cut, all those open mouths with nothing coming out, all that commotion which is just a picture, and the conqueror, who has already been conquered, alone in the middle of his silence...
C'est propre, la tragédie. C'est reposant, c'est sûr...	Tragedy is clean. It's restful, it's reliable...
Dans le drame, avec ces traîtres, avec ces méchants acharnés, cette innocence persécutée, ces vengeurs, ces terre-neuve, ces lueurs d'espoir, cela devient épouvantable de mourir, comme un accident. On aurait peut-être pu se sauver, le bon jeune homme aurait peut-être pu arriver à temps avec les gendarmes.	In drama, with its traitors, its sneering villains, its damsels in distress, its sudden discoveries, its acts of revenge, its gleams of hope, it would be horrible to die, it would just be an accident. Maybe you could have been saved, the young hero might have arrived in time with the cavalry.
Dans la tragédie, on est tranquille. D'abord, on est entre soi. On est tous innocents, en somme ! Ce n'est pas parce qu'il y en a un qui tue et l'autre qui est tué. C'est une question de distribution.	But tragedy is peaceful. It all stays in the family, in the end everyone is innocent. It's not a question of who kills and who gets killed, it's just a matter of how to share out the parts.
Et puis, surtout, c'est reposant, la tragédie, parce qu'on sait qu'il n'y a plus d'espoir, le sale espoir ; qu'on est pris, qu'on est enfin pris comme un rat, avec tout le ciel sur son dos, et qu'on n'a plus qu'à crier, pas à gémir, non, pas à se plaindre, à gueuler à pleine voix ce qu'on avait à dire, qu'on n'avait jamais dit et qu'on ne savait peut-être même pas encore. Et pour rien : pour se le dire à soi, pour l'apprendre, soi.	And above all, tragedy is calm, because you know there's no hope, no filthy hope; you're caught, in the end you're caught like a rat, with the whole sky that's fallen on you, and all you can do is scream, not groan or complain, but scream at the top of your lungs all the things you have to say, which you've never said and maybe didn't even know you had in you. It won't help: but you do it for yourself, to learn something.
Dans le drame, on se débat parce qu'on espère en sortir. C'est ignoble, c'est utilitaire. Là, c'est gratuit.	In a drama, you fight back because you hope to escape. It's vulgar, you just want to turn a profit. Tragedy is for free.
C'est pour les rois. Et il n'y a plus rien à tenter, enfin !	It's like being a king. And in the end, there is nothing you need to try.
Antigone est entrée, poussée par les gardes.	Enter Antigone, pushed along by the guards.
LE CHŒUR	THE CHORUS
Alors, voilà, cela commence.	And so, it starts.
La petite Antigone est prise.	Little Antigone has been captured.
